Fecha;Primer;Segundo;Tercero
05/01/2012;1.0;2.0;6.0
06/01/2012;5.0;1.0;4.0
07/01/2012;8.0;4.0;8.0
08/01/2012;7.0;7.0;6.0
09/01/2012;9.0;4.0;1.0
10/01/2012;4.0;6.0;8.0
11/01/2012;3.0;4.0;1.0
12/01/2012;9.0;1.0;1.0
13/01/2012;9.0;7.0;2.0
14/01/2012;0.0;2.0;0.0
15/01/2012;8.0;8.0;4.0
16/01/2012;6.0;8.0;0.0
17/01/2012;3.0;7.0;2.0
18/01/2012;2.0;5.0;1.0
19/01/2012;1.0;1.0;9.0
20/01/2012;9.0;1.0;8.0
21/01/2012;2.0;5.0;9.0
22/01/2012;4.0;7.0;2.0
23/01/2012;4.0;9.0;0.0
24/01/2012;4.0;1.0;5.0
25/01/2012;9.0;7.0;5.0
26/01/2012;6.0;3.0;5.0
27/01/2012;2.0;2.0;8.0
28/01/2012;3.0;4.0;0.0
29/01/2012;7.0;3.0;9.0
30/01/2012;3.0;2.0;1.0
31/01/2012;9.0;4.0;4.0
01/02/2012;7.0;6.0;8.0
02/02/2012;1.0;3.0;8.0
03/02/2012;0.0;8.0;9.0
04/02/2012;7.0;0.0;5.0
05/02/2012;9.0;1.0;4.0
06/02/2012;8.0;8.0;8.0
07/02/2012;2.0;7.0;1.0
08/02/2012;4.0;3.0;3.0
09/02/2012;0.0;9.0;2.0
10/02/2012;6.0;3.0;3.0
11/02/2012;2.0;6.0;5.0
12/02/2012;0.0;0.0;8.0
13/02/2012;7.0;9.0;4.0
14/02/2012;2.0;0.0;8.0
15/02/2012;4.0;5.0;9.0
16/02/2012;3.0;5.0;1.0
17/02/2012;3.0;6.0;6.0
18/02/2012;2.0;0.0;3.0
19/02/2012;7.0;6.0;7.0
20/02/2012;4.0;3.0;8.0
21/02/2012;1.0;7.0;6.0
22/02/2012;0.0;3.0;8.0
23/02/2012;0.0;9.0;5.0
24/02/2012;8.0;5.0;4.0
25/02/2012;5.0;3.0;1.0
26/02/2012;4.0;4.0;7.0
27/02/2012;4.0;2.0;9.0
28/02/2012;0.0;7.0;6.0
29/02/2012;3.0;7.0;2.0
01/03/2012;8.0;7.0;4.0
02/03/2012;9.0;5.0;8.0
03/03/2012;6.0;5.0;7.0
04/03/2012;3.0;4.0;2.0
05/03/2012;2.0;9.0;5.0
06/03/2012;2.0;1.0;6.0
07/03/2012;5.0;8.0;3.0
08/03/2012;5.0;6.0;8.0
09/03/2012;3.0;8.0;5.0
10/03/2012;8.0;5.0;0.0
11/03/2012;2.0;8.0;7.0
12/03/2012;9.0;8.0;7.0
13/03/2012;0.0;3.0;5.0
14/03/2012;5.0;5.0;5.0
15/03/2012;9.0;8.0;4.0
16/03/2012;1.0;0.0;8.0
17/03/2012;1.0;1.0;9.0
18/03/2012;7.0;6.0;3.0
19/03/2012;6.0;8.0;5.0
20/03/2012;8.0;6.0;0.0
21/03/2012;1.0;8.0;3.0
22/03/2012;2.0;6.0;3.0
23/03/2012;6.0;7.0;8.0
24/03/2012;0.0;0.0;8.0
25/03/2012;4.0;1.0;9.0
26/03/2012;1.0;3.0;7.0
27/03/2012;8.0;0.0;2.0
28/03/2012;7.0;6.0;9.0
29/03/2012;5.0;6.0;6.0
30/03/2012;5.0;6.0;2.0
31/03/2012;0.0;0.0;9.0
01/04/2012;3.0;7.0;3.0
02/04/2012;5.0;4.0;6.0
03/04/2012;3.0;9.0;2.0
04/04/2012;7.0;7.0;7.0
05/04/2012;3.0;9.0;7.0
06/04/2012;1.0;5.0;9.0
07/04/2012;4.0;0.0;8.0
08/04/2012;1.0;3.0;1.0
09/04/2012;3.0;8.0;1.0
10/04/2012;8.0;6.0;6.0
11/04/2012;4.0;3.0;2.0
12/04/2012;2.0;1.0;7.0
13/04/2012;7.0;6.0;7.0
14/04/2012;7.0;4.0;8.0
15/04/2012;1.0;2.0;9.0
16/04/2012;4.0;4.0;4.0
17/04/2012;5.0;7.0;7.0
18/04/2012;0.0;5.0;6.0
19/04/2012;8.0;0.0;9.0
20/04/2012;4.0;2.0;3.0
21/04/2012;4.0;7.0;5.0
22/04/2012;0.0;0.0;6.0
23/04/2012;0.0;2.0;7.0
24/04/2012;4.0;7.0;8.0
25/04/2012;4.0;9.0;7.0
26/04/2012;5.0;3.0;2.0
27/04/2012;8.0;8.0;7.0
28/04/2012;0.0;3.0;8.0
29/04/2012;4.0;2.0;7.0
30/04/2012;5.0;2.0;9.0
01/05/2012;7.0;9.0;7.0
02/05/2012;1.0;5.0;2.0
03/05/2012;8.0;7.0;2.0
04/05/2012;1.0;1.0;7.0
05/05/2012;0.0;4.0;2.0
06/05/2012;4.0;7.0;0.0
07/05/2012;5.0;3.0;0.0
08/05/2012;7.0;5.0;0.0
09/05/2012;6.0;6.0;3.0
10/05/2012;9.0;2.0;3.0
11/05/2012;0.0;5.0;7.0
12/05/2012;7.0;6.0;6.0
13/05/2012;7.0;0.0;6.0
14/05/2012;6.0;1.0;6.0
15/05/2012;7.0;3.0;9.0
16/05/2012;7.0;1.0;5.0
17/05/2012;9.0;4.0;7.0
18/05/2012;0.0;3.0;8.0
19/05/2012;0.0;6.0;5.0
20/05/2012;5.0;4.0;3.0
21/05/2012;8.0;0.0;6.0
22/05/2012;7.0;5.0;9.0
23/05/2012;5.0;0.0;8.0
24/05/2012;0.0;7.0;8.0
25/05/2012;3.0;5.0;1.0
26/05/2012;0.0;2.0;0.0
27/05/2012;3.0;8.0;4.0
28/05/2012;0.0;4.0;4.0
29/05/2012;2.0;5.0;0.0
30/05/2012;7.0;3.0;8.0
31/05/2012;8.0;0.0;2.0
01/06/2012;6.0;6.0;8.0
02/06/2012;4.0;7.0;7.0
03/06/2012;8.0;3.0;5.0
04/06/2012;5.0;6.0;9.0
05/06/2012;6.0;2.0;7.0
06/06/2012;9.0;1.0;2.0
07/06/2012;5.0;9.0;8.0
08/06/2012;1.0;9.0;8.0
09/06/2012;1.0;7.0;5.0
10/06/2012;5.0;6.0;0.0
11/06/2012;3.0;8.0;5.0
12/06/2012;2.0;8.0;0.0
13/06/2012;0.0;6.0;6.0
14/06/2012;2.0;1.0;5.0
15/06/2012;1.0;8.0;2.0
16/06/2012;0.0;1.0;5.0
17/06/2012;6.0;8.0;5.0
18/06/2012;1.0;1.0;5.0
19/06/2012;9.0;0.0;8.0
20/06/2012;4.0;5.0;0.0
21/06/2012;5.0;6.0;4.0
22/06/2012;6.0;2.0;3.0
23/06/2012;1.0;4.0;5.0
24/06/2012;1.0;4.0;8.0
25/06/2012;0.0;2.0;9.0
26/06/2012;9.0;4.0;6.0
27/06/2012;1.0;6.0;6.0
28/06/2012;9.0;9.0;9.0
29/06/2012;6.0;2.0;0.0
30/06/2012;2.0;3.0;7.0
01/07/2012;5.0;7.0;6.0
02/07/2012;3.0;6.0;5.0
03/07/2012;6.0;0.0;9.0
04/07/2012;8.0;9.0;6.0
05/07/2012;5.0;9.0;1.0
06/07/2012;8.0;2.0;2.0
07/07/2012;5.0;5.0;4.0
08/07/2012;1.0;4.0;5.0
09/07/2012;6.0;7.0;1.0
10/07/2012;7.0;5.0;4.0
11/07/2012;6.0;6.0;2.0
12/07/2012;4.0;4.0;4.0
13/07/2012;6.0;3.0;6.0
14/07/2012;0.0;5.0;8.0
15/07/2012;2.0;7.0;8.0
16/07/2012;9.0;6.0;2.0
17/07/2012;6.0;1.0;1.0
18/07/2012;1.0;3.0;9.0
19/07/2012;5.0;1.0;5.0
20/07/2012;9.0;1.0;2.0
21/07/2012;7.0;6.0;1.0
22/07/2012;8.0;9.0;1.0
23/07/2012;3.0;0.0;4.0
24/07/2012;8.0;6.0;4.0
25/07/2012;6.0;9.0;2.0
26/07/2012;0.0;9.0;5.0
27/07/2012;8.0;2.0;9.0
28/07/2012;8.0;4.0;1.0
29/07/2012;4.0;7.0;2.0
30/07/2012;2.0;1.0;1.0
31/07/2012;4.0;5.0;6.0
01/08/2012;1.0;1.0;2.0
02/08/2012;0.0;5.0;2.0
03/08/2012;8.0;7.0;0.0
04/08/2012;7.0;7.0;5.0
05/08/2012;0.0;3.0;6.0
06/08/2012;6.0;7.0;7.0
07/08/2012;1.0;7.0;5.0
08/08/2012;3.0;2.0;2.0
09/08/2012;1.0;7.0;5.0
10/08/2012;2.0;7.0;0.0
11/08/2012;9.0;6.0;8.0
12/08/2012;8.0;7.0;3.0
13/08/2012;6.0;9.0;4.0
14/08/2012;3.0;4.0;5.0
15/08/2012;8.0;6.0;6.0
16/08/2012;1.0;9.0;1.0
17/08/2012;6.0;4.0;8.0
18/08/2012;0.0;5.0;1.0
19/08/2012;5.0;8.0;6.0
20/08/2012;2.0;3.0;7.0
21/08/2012;9.0;7.0;2.0
22/08/2012;8.0;8.0;3.0
23/08/2012;6.0;5.0;7.0
24/08/2012;6.0;1.0;9.0
25/08/2012;8.0;3.0;4.0
26/08/2012;3.0;6.0;8.0
27/08/2012;7.0;8.0;1.0
28/08/2012;9.0;3.0;0.0
29/08/2012;6.0;6.0;7.0
30/08/2012;6.0;7.0;0.0
31/08/2012;6.0;7.0;8.0
01/09/2012;9.0;5.0;0.0
02/09/2012;6.0;0.0;9.0
03/09/2012;2.0;1.0;0.0
04/09/2012;5.0;0.0;0.0
05/09/2012;5.0;3.0;0.0
06/09/2012;0.0;7.0;8.0
07/09/2012;6.0;2.0;4.0
08/09/2012;5.0;3.0;7.0
09/09/2012;5.0;0.0;5.0
10/09/2012;3.0;7.0;4.0
11/09/2012;3.0;2.0;6.0
12/09/2012;7.0;7.0;3.0
13/09/2012;6.0;7.0;8.0
14/09/2012;3.0;4.0;0.0
15/09/2012;1.0;4.0;8.0
16/09/2012;4.0;7.0;0.0
17/09/2012;8.0;3.0;5.0
18/09/2012;7.0;4.0;8.0
19/09/2012;1.0;5.0;3.0
20/09/2012;4.0;1.0;2.0
21/09/2012;2.0;5.0;7.0
22/09/2012;6.0;7.0;2.0
23/09/2012;1.0;7.0;5.0
24/09/2012;5.0;7.0;5.0
25/09/2012;8.0;9.0;1.0
26/09/2012;4.0;8.0;1.0
27/09/2012;8.0;3.0;3.0
28/09/2012;0.0;8.0;8.0
29/09/2012;4.0;6.0;0.0
30/09/2012;1.0;4.0;4.0
01/10/2012;4.0;3.0;2.0
02/10/2012;0.0;3.0;3.0
03/10/2012;7.0;6.0;4.0
04/10/2012;9.0;5.0;2.0
05/10/2012;5.0;8.0;0.0
06/10/2012;5.0;3.0;0.0
07/10/2012;9.0;1.0;0.0
08/10/2012;2.0;7.0;5.0
09/10/2012;2.0;0.0;3.0
10/10/2012;6.0;1.0;2.0
11/10/2012;1.0;8.0;4.0
12/10/2012;4.0;4.0;1.0
13/10/2012;1.0;7.0;8.0
14/10/2012;0.0;4.0;6.0
15/10/2012;9.0;0.0;8.0
16/10/2012;6.0;9.0;9.0
17/10/2012;9.0;2.0;9.0
18/10/2012;6.0;2.0;5.0
19/10/2012;7.0;1.0;5.0
20/10/2012;7.0;7.0;1.0
21/10/2012;8.0;3.0;1.0
22/10/2012;8.0;4.0;9.0
23/10/2012;5.0;4.0;2.0
24/10/2012;1.0;0.0;2.0
25/10/2012;7.0;6.0;2.0
26/10/2012;4.0;1.0;1.0
27/10/2012;8.0;6.0;2.0
28/10/2012;9.0;7.0;7.0
29/10/2012;8.0;4.0;4.0
30/10/2012;3.0;8.0;0.0
31/10/2012;0.0;3.0;4.0
01/11/2012;6.0;3.0;3.0
02/11/2012;6.0;2.0;3.0
03/11/2012;7.0;3.0;8.0
04/11/2012;4.0;0.0;1.0
05/11/2012;9.0;9.0;7.0
06/11/2012;7.0;9.0;1.0
07/11/2012;4.0;3.0;9.0
08/11/2012;4.0;5.0;4.0
09/11/2012;2.0;1.0;4.0
10/11/2012;7.0;6.0;7.0
11/11/2012;4.0;3.0;9.0
12/11/2012;9.0;6.0;1.0
13/11/2012;9.0;6.0;5.0
14/11/2012;5.0;5.0;2.0
15/11/2012;5.0;4.0;0.0
16/11/2012;5.0;3.0;6.0
17/11/2012;6.0;5.0;2.0
18/11/2012;8.0;6.0;0.0
19/11/2012;7.0;7.0;0.0
20/11/2012;9.0;9.0;9.0
21/11/2012;8.0;6.0;2.0
22/11/2012;8.0;1.0;5.0
23/11/2012;5.0;2.0;2.0
24/11/2012;4.0;6.0;1.0
25/11/2012;7.0;7.0;1.0
26/11/2012;7.0;4.0;1.0
27/11/2012;6.0;4.0;1.0
28/11/2012;1.0;5.0;4.0
29/11/2012;6.0;8.0;3.0
30/11/2012;0.0;6.0;5.0
01/12/2012;6.0;9.0;3.0
02/12/2012;8.0;2.0;6.0
03/12/2012;8.0;3.0;2.0
04/12/2012;4.0;8.0;5.0
05/12/2012;1.0;5.0;8.0
06/12/2012;8.0;9.0;3.0
07/12/2012;2.0;6.0;8.0
08/12/2012;3.0;1.0;3.0
09/12/2012;3.0;0.0;4.0
10/12/2012;8.0;8.0;3.0
11/12/2012;1.0;5.0;5.0
12/12/2012;1.0;2.0;2.0
13/12/2012;7.0;7.0;3.0
14/12/2012;9.0;7.0;6.0
15/12/2012;9.0;8.0;6.0
16/12/2012;1.0;8.0;7.0
17/12/2012;8.0;6.0;9.0
18/12/2012;5.0;6.0;2.0
19/12/2012;9.0;7.0;4.0
20/12/2012;6.0;2.0;4.0
21/12/2012;5.0;6.0;4.0
22/12/2012;3.0;3.0;7.0
23/12/2012;6.0;6.0;0.0
24/12/2012;4.0;3.0;4.0
25/12/2012;3.0;0.0;1.0
26/12/2012;5.0;9.0;2.0
27/12/2012;7.0;2.0;5.0
28/12/2012;4.0;2.0;1.0
29/12/2012;7.0;7.0;0.0
30/12/2012;4.0;4.0;6.0
31/12/2012;6.0;6.0;1.0
01/01/2013;3.0;5.0;4.0
02/01/2013;5.0;5.0;1.0
03/01/2013;7.0;7.0;7.0
04/01/2013;2.0;8.0;2.0
05/01/2013;5.0;7.0;1.0
06/01/2013;3.0;9.0;7.0
07/01/2013;8.0;8.0;1.0
08/01/2013;0.0;2.0;5.0
09/01/2013;8.0;1.0;9.0
10/01/2013;6.0;0.0;3.0
11/01/2013;1.0;4.0;7.0
12/01/2013;6.0;8.0;8.0
13/01/2013;7.0;9.0;2.0
14/01/2013;1.0;5.0;6.0
15/01/2013;0.0;7.0;6.0
16/01/2013;3.0;3.0;5.0
17/01/2013;8.0;9.0;3.0
18/01/2013;9.0;4.0;7.0
19/01/2013;3.0;7.0;8.0
20/01/2013;0.0;7.0;0.0
21/01/2013;1.0;2.0;2.0
22/01/2013;3.0;0.0;2.0
23/01/2013;9.0;3.0;1.0
24/01/2013;0.0;1.0;0.0
25/01/2013;2.0;9.0;2.0
26/01/2013;0.0;9.0;5.0
27/01/2013;8.0;7.0;3.0
28/01/2013;3.0;2.0;8.0
29/01/2013;1.0;1.0;1.0
30/01/2013;5.0;9.0;3.0
31/01/2013;7.0;9.0;1.0
01/02/2013;4.0;5.0;8.0
02/02/2013;7.0;3.0;2.0
03/02/2013;6.0;4.0;9.0
04/02/2013;3.0;4.0;9.0
05/02/2013;8.0;0.0;9.0
06/02/2013;8.0;1.0;1.0
07/02/2013;8.0;1.0;7.0
08/02/2013;5.0;5.0;3.0
09/02/2013;4.0;3.0;1.0
10/02/2013;9.0;0.0;8.0
11/02/2013;6.0;4.0;8.0
12/02/2013;7.0;6.0;9.0
13/02/2013;4.0;1.0;3.0
14/02/2013;2.0;6.0;2.0
15/02/2013;8.0;0.0;7.0
16/02/2013;3.0;7.0;1.0
17/02/2013;1.0;0.0;3.0
18/02/2013;4.0;4.0;7.0
19/02/2013;4.0;9.0;2.0
20/02/2013;7.0;8.0;8.0
21/02/2013;8.0;8.0;3.0
22/02/2013;5.0;1.0;7.0
23/02/2013;8.0;6.0;1.0
24/02/2013;3.0;6.0;9.0
25/02/2013;8.0;7.0;0.0
26/02/2013;6.0;3.0;3.0
27/02/2013;6.0;3.0;3.0
28/02/2013;0.0;4.0;8.0
01/03/2013;8.0;9.0;0.0
02/03/2013;0.0;6.0;3.0
03/03/2013;0.0;6.0;6.0
04/03/2013;6.0;3.0;4.0
05/03/2013;3.0;5.0;7.0
06/03/2013;9.0;9.0;3.0
07/03/2013;9.0;1.0;7.0
08/03/2013;7.0;6.0;1.0
09/03/2013;3.0;8.0;2.0
10/03/2013;9.0;1.0;2.0
11/03/2013;3.0;1.0;2.0
12/03/2013;7.0;5.0;7.0
13/03/2013;2.0;8.0;8.0
14/03/2013;0.0;8.0;2.0
15/03/2013;8.0;3.0;4.0
16/03/2013;1.0;6.0;0.0
17/03/2013;5.0;7.0;0.0
18/03/2013;6.0;9.0;8.0
19/03/2013;7.0;7.0;4.0
20/03/2013;0.0;9.0;8.0
21/03/2013;7.0;4.0;3.0
22/03/2013;3.0;8.0;4.0
23/03/2013;2.0;4.0;8.0
24/03/2013;1.0;9.0;4.0
25/03/2013;9.0;7.0;3.0
26/03/2013;3.0;1.0;5.0
27/03/2013;8.0;4.0;8.0
28/03/2013;0.0;0.0;2.0
29/03/2013;7.0;3.0;3.0
30/03/2013;1.0;5.0;4.0
31/03/2013;0.0;9.0;2.0
01/04/2013;8.0;5.0;8.0
02/04/2013;9.0;0.0;0.0
03/04/2013;6.0;3.0;2.0
04/04/2013;2.0;2.0;5.0
05/04/2013;1.0;5.0;1.0
06/04/2013;3.0;7.0;2.0
07/04/2013;0.0;1.0;4.0
08/04/2013;4.0;8.0;1.0
09/04/2013;1.0;0.0;3.0
10/04/2013;4.0;8.0;7.0
11/04/2013;4.0;9.0;2.0
12/04/2013;5.0;4.0;3.0
13/04/2013;8.0;0.0;7.0
14/04/2013;1.0;5.0;5.0
15/04/2013;6.0;9.0;6.0
16/04/2013;6.0;7.0;7.0
17/04/2013;8.0;3.0;7.0
18/04/2013;3.0;4.0;6.0
19/04/2013;1.0;6.0;7.0
20/04/2013;5.0;9.0;9.0
21/04/2013;3.0;1.0;2.0
22/04/2013;3.0;7.0;3.0
23/04/2013;9.0;9.0;3.0
24/04/2013;0.0;9.0;3.0
25/04/2013;1.0;4.0;1.0
26/04/2013;6.0;0.0;2.0
27/04/2013;4.0;5.0;6.0
28/04/2013;7.0;5.0;7.0
29/04/2013;5.0;9.0;9.0
30/04/2013;4.0;9.0;9.0
01/05/2013;3.0;6.0;8.0
02/05/2013;0.0;4.0;2.0
03/05/2013;0.0;1.0;5.0
04/05/2013;8.0;2.0;5.0
05/05/2013;4.0;0.0;8.0
06/05/2013;1.0;0.0;0.0
07/05/2013;6.0;6.0;4.0
08/05/2013;0.0;2.0;1.0
09/05/2013;4.0;0.0;0.0
10/05/2013;6.0;2.0;1.0
11/05/2013;2.0;3.0;5.0
12/05/2013;3.0;0.0;0.0
13/05/2013;8.0;6.0;2.0
14/05/2013;9.0;1.0;4.0
15/05/2013;0.0;8.0;2.0
16/05/2013;7.0;3.0;1.0
17/05/2013;5.0;1.0;0.0
18/05/2013;1.0;4.0;0.0
19/05/2013;9.0;8.0;8.0
20/05/2013;9.0;2.0;2.0
21/05/2013;5.0;9.0;8.0
22/05/2013;1.0;1.0;8.0
23/05/2013;5.0;6.0;6.0
24/05/2013;7.0;5.0;3.0
25/05/2013;2.0;1.0;3.0
26/05/2013;8.0;5.0;6.0
27/05/2013;6.0;0.0;5.0
28/05/2013;3.0;2.0;7.0
29/05/2013;4.0;5.0;3.0
30/05/2013;2.0;3.0;1.0
31/05/2013;2.0;0.0;5.0
01/06/2013;7.0;3.0;2.0
02/06/2013;8.0;4.0;1.0
03/06/2013;6.0;9.0;5.0
04/06/2013;0.0;0.0;3.0
05/06/2013;6.0;9.0;5.0
06/06/2013;4.0;9.0;7.0
07/06/2013;7.0;7.0;5.0
08/06/2013;7.0;5.0;2.0
09/06/2013;0.0;4.0;2.0
10/06/2013;7.0;1.0;8.0
11/06/2013;2.0;0.0;3.0
12/06/2013;8.0;9.0;0.0
13/06/2013;5.0;3.0;9.0
14/06/2013;9.0;0.0;3.0
15/06/2013;6.0;7.0;7.0
16/06/2013;1.0;8.0;8.0
17/06/2013;5.0;9.0;2.0
18/06/2013;6.0;8.0;0.0
19/06/2013;2.0;9.0;0.0
20/06/2013;4.0;5.0;1.0
21/06/2013;0.0;7.0;4.0
22/06/2013;7.0;7.0;2.0
23/06/2013;4.0;4.0;7.0
24/06/2013;2.0;5.0;1.0
25/06/2013;9.0;6.0;3.0
26/06/2013;7.0;5.0;9.0
27/06/2013;3.0;2.0;5.0
28/06/2013;0.0;1.0;9.0
29/06/2013;8.0;4.0;4.0
30/06/2013;6.0;8.0;2.0
01/07/2013;5.0;1.0;1.0
02/07/2013;5.0;7.0;4.0
03/07/2013;5.0;8.0;7.0
04/07/2013;5.0;0.0;1.0
05/07/2013;2.0;1.0;8.0
06/07/2013;9.0;9.0;8.0
07/07/2013;0.0;5.0;7.0
08/07/2013;8.0;2.0;2.0
09/07/2013;5.0;8.0;1.0
10/07/2013;5.0;1.0;1.0
11/07/2013;9.0;2.0;9.0
12/07/2013;8.0;8.0;8.0
13/07/2013;8.0;9.0;6.0
14/07/2013;5.0;1.0;8.0
15/07/2013;3.0;4.0;6.0
16/07/2013;3.0;2.0;7.0
17/07/2013;7.0;8.0;5.0
18/07/2013;0.0;4.0;5.0
19/07/2013;8.0;8.0;6.0
20/07/2013;8.0;5.0;3.0
21/07/2013;4.0;6.0;4.0
22/07/2013;1.0;1.0;0.0
23/07/2013;6.0;9.0;8.0
24/07/2013;7.0;4.0;2.0
25/07/2013;3.0;4.0;4.0
26/07/2013;3.0;7.0;8.0
27/07/2013;5.0;9.0;2.0
28/07/2013;5.0;4.0;8.0
29/07/2013;2.0;5.0;4.0
30/07/2013;3.0;8.0;3.0
31/07/2013;4.0;5.0;2.0
01/08/2013;6.0;7.0;4.0
02/08/2013;6.0;2.0;4.0
03/08/2013;8.0;2.0;5.0
04/08/2013;1.0;7.0;2.0
05/08/2013;9.0;1.0;6.0
06/08/2013;3.0;1.0;2.0
07/08/2013;9.0;6.0;0.0
08/08/2013;0.0;8.0;8.0
09/08/2013;5.0;8.0;4.0
10/08/2013;2.0;5.0;3.0
11/08/2013;8.0;9.0;5.0
12/08/2013;6.0;0.0;0.0
13/08/2013;2.0;0.0;3.0
14/08/2013;6.0;1.0;8.0
15/08/2013;3.0;9.0;2.0
16/08/2013;1.0;2.0;3.0
17/08/2013;6.0;0.0;3.0
18/08/2013;3.0;6.0;6.0
19/08/2013;2.0;0.0;6.0
20/08/2013;5.0;5.0;8.0
21/08/2013;1.0;8.0;1.0
22/08/2013;3.0;3.0;7.0
23/08/2013;6.0;0.0;5.0
24/08/2013;9.0;8.0;1.0
25/08/2013;8.0;0.0;1.0
26/08/2013;1.0;9.0;8.0
27/08/2013;2.0;7.0;5.0
28/08/2013;2.0;3.0;5.0
29/08/2013;3.0;1.0;4.0
30/08/2013;1.0;2.0;1.0
31/08/2013;8.0;2.0;8.0
01/09/2013;5.0;2.0;4.0
02/09/2013;8.0;7.0;5.0
03/09/2013;2.0;7.0;8.0
04/09/2013;8.0;4.0;8.0
05/09/2013;7.0;9.0;4.0
06/09/2013;6.0;7.0;1.0
07/09/2013;3.0;2.0;7.0
08/09/2013;5.0;3.0;5.0
09/09/2013;9.0;0.0;5.0
10/09/2013;7.0;5.0;3.0
11/09/2013;0.0;2.0;8.0
12/09/2013;4.0;0.0;7.0
13/09/2013;9.0;6.0;1.0
14/09/2013;6.0;2.0;6.0
15/09/2013;4.0;9.0;0.0
16/09/2013;3.0;8.0;0.0
17/09/2013;5.0;9.0;9.0
18/09/2013;4.0;2.0;3.0
19/09/2013;8.0;4.0;2.0
20/09/2013;9.0;2.0;4.0
21/09/2013;4.0;3.0;6.0
22/09/2013;5.0;3.0;1.0
23/09/2013;6.0;4.0;0.0
24/09/2013;5.0;8.0;1.0
25/09/2013;8.0;4.0;8.0
26/09/2013;5.0;3.0;3.0
27/09/2013;1.0;7.0;0.0
28/09/2013;9.0;0.0;3.0
29/09/2013;2.0;3.0;0.0
30/09/2013;7.0;7.0;6.0
01/10/2013;6.0;6.0;5.0
02/10/2013;4.0;6.0;5.0
03/10/2013;1.0;5.0;8.0
04/10/2013;8.0;9.0;1.0
05/10/2013;7.0;2.0;1.0
06/10/2013;2.0;3.0;6.0
07/10/2013;0.0;9.0;2.0
08/10/2013;7.0;6.0;3.0
09/10/2013;9.0;9.0;2.0
10/10/2013;3.0;8.0;9.0
11/10/2013;8.0;2.0;8.0
12/10/2013;3.0;3.0;2.0
13/10/2013;7.0;1.0;9.0
14/10/2013;7.0;8.0;5.0
15/10/2013;4.0;8.0;8.0
16/10/2013;5.0;4.0;5.0
17/10/2013;3.0;3.0;4.0
18/10/2013;0.0;7.0;2.0
19/10/2013;8.0;7.0;3.0
20/10/2013;1.0;8.0;2.0
21/10/2013;7.0;5.0;4.0
22/10/2013;1.0;2.0;4.0
23/10/2013;7.0;6.0;4.0
24/10/2013;8.0;6.0;0.0
25/10/2013;9.0;6.0;4.0
26/10/2013;1.0;5.0;6.0
27/10/2013;2.0;3.0;3.0
28/10/2013;7.0;1.0;3.0
29/10/2013;8.0;6.0;8.0
30/10/2013;8.0;0.0;8.0
31/10/2013;5.0;4.0;5.0
01/11/2013;7.0;9.0;8.0
02/11/2013;9.0;2.0;9.0
03/11/2013;3.0;3.0;6.0
04/11/2013;7.0;8.0;8.0
05/11/2013;4.0;5.0;9.0
06/11/2013;9.0;2.0;6.0
07/11/2013;8.0;6.0;5.0
08/11/2013;0.0;9.0;1.0
09/11/2013;8.0;6.0;6.0
10/11/2013;8.0;4.0;4.0
11/11/2013;3.0;5.0;2.0
12/11/2013;6.0;6.0;4.0
13/11/2013;8.0;0.0;2.0
14/11/2013;6.0;2.0;7.0
15/11/2013;1.0;5.0;9.0
16/11/2013;6.0;4.0;1.0
17/11/2013;7.0;4.0;1.0
18/11/2013;0.0;6.0;3.0
19/11/2013;5.0;5.0;2.0
20/11/2013;2.0;8.0;4.0
21/11/2013;6.0;7.0;0.0
22/11/2013;3.0;4.0;3.0
23/11/2013;6.0;9.0;8.0
24/11/2013;8.0;1.0;4.0
25/11/2013;9.0;8.0;6.0
26/11/2013;8.0;8.0;2.0
27/11/2013;0.0;5.0;5.0
28/11/2013;2.0;0.0;2.0
29/11/2013;1.0;3.0;3.0
30/11/2013;8.0;5.0;0.0
01/12/2013;2.0;5.0;8.0
02/12/2013;5.0;6.0;7.0
03/12/2013;5.0;6.0;4.0
04/12/2013;3.0;4.0;1.0
05/12/2013;3.0;1.0;6.0
06/12/2013;2.0;6.0;3.0
07/12/2013;0.0;5.0;4.0
08/12/2013;5.0;4.0;7.0
09/12/2013;6.0;8.0;6.0
10/12/2013;5.0;5.0;2.0
11/12/2013;5.0;5.0;8.0
12/12/2013;1.0;3.0;7.0
13/12/2013;2.0;9.0;3.0
14/12/2013;8.0;7.0;0.0
15/12/2013;0.0;5.0;1.0
16/12/2013;4.0;9.0;3.0
17/12/2013;7.0;6.0;6.0
18/12/2013;8.0;4.0;4.0
19/12/2013;3.0;4.0;5.0
20/12/2013;7.0;0.0;6.0
21/12/2013;5.0;7.0;1.0
22/12/2013;6.0;8.0;5.0
23/12/2013;2.0;6.0;2.0
24/12/2013;0.0;5.0;0.0
25/12/2013;0.0;3.0;2.0
26/12/2013;4.0;1.0;1.0
27/12/2013;2.0;9.0;9.0
28/12/2013;7.0;0.0;0.0
29/12/2013;7.0;7.0;7.0
30/12/2013;4.0;4.0;8.0
31/12/2013;7.0;9.0;6.0
01/01/2014;7.0;2.0;8.0
02/01/2014;8.0;9.0;6.0
03/01/2014;7.0;8.0;2.0
04/01/2014;9.0;0.0;0.0
05/01/2014;1.0;4.0;7.0
06/01/2014;1.0;7.0;9.0
07/01/2014;5.0;3.0;3.0
08/01/2014;8.0;1.0;2.0
